timestamp,imei,x,y
2026-02-13T02:23:59.615004+00:00,449125437250057,73,85
2026-02-13T02:23:59.815004+00:00,449155501191762,95,169
2026-02-13T02:24:00.015004+00:00,351501046513596,122,72
2026-02-13T02:24:00.215004+00:00,355530008164060,59,145
2026-02-13T02:24:00.415004+00:00,520248427566886,70,52
2026-02-13T02:24:00.615004+00:00,449654937545963,158,121
2026-02-13T02:24:00.815004+00:00,490140616452497,99,50
2026-02-13T02:24:01.015004+00:00,358100005539941,104,75
2026-02-13T02:24:01.215004+00:00,358622005301659,95,139
2026-02-13T02:24:01.415004+00:00,354468003046456,173,73
2026-02-13T02:24:01.615004+00:00,352514001348642,168,135
2026-02-13T02:24:01.815004+00:00,350996008846045,148,118
2026-02-13T02:24:02.015004+00:00,357767019978678,62,90
2026-02-13T02:24:02.215004+00:00,351784004006700,112,71
2026-02-13T02:24:02.415004+00:00,520182003076798,38,22
2026-02-13T02:24:02.615004+00:00,351674015693325,141,86
2026-02-13T02:24:02.815004+00:00,351923007107400,88,83
2026-02-13T02:24:03.015004+00:00,353095029729731,139,144
2026-02-13T02:24:03.215004+00:00,356318029155799,60,139
2026-02-13T02:24:03.415004+00:00,359205072926209,74,153
2026-02-13T02:24:03.615004+00:00,350187933481393,78,79
2026-02-13T02:24:03.815004+00:00,449338602409297,107,164
2026-02-13T02:24:04.015004+00:00,350780208472269,88,53
2026-02-13T02:24:04.215004+00:00,350620002870856,165,171
2026-02-13T02:24:04.415004+00:00,356048003002945,123,104
2026-02-13T02:24:04.615004+00:00,520259618965951,71,178
